"","cbsa_code","name","fatality_overall","fatality_children","tot_pop","rate_overall","child_pop","rate_children"
"1","35620","New York-Newark-Jersey City, NY-NJ",4256,181,98902862,4.30321217600356,21089127,0.858262174626764
"2","31080","Los Angeles-Long Beach-Anaheim, CA",4967,198,65729867,7.55668652121265,14041646,1.41009109615782
"3","16980","Chicago-Naperville-Elgin, IL-IN",3328,194,47442101,7.01486639472396,10660816,1.81974813185032
"4","19100","Dallas-Fort Worth-Arlington, TX",3912,255,38217286,10.2362056792835,9780316,2.60727771986099
"5","26420","Houston-Pasadena-The Woodlands, TX",3663,191,35502910,10.3174641177301,9337378,2.04554212113936
"6","12060","Atlanta-Sandy Springs-Roswell, GA",3728,188,30219900,12.3362420127135,7266155,2.58733814514004
"7","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",2009,93,31481128,6.38160106588303,7177053,1.29579647802517
"8","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2546,120,30764691,8.27572102056868,6619773,1.81275098103817
"9","33100","Miami-Fort Lauderdale-West Palm Beach, FL",3734,155,30755181,12.1410438130733,6186990,2.50525699896072
"10","40140","Riverside-San Bernardino-Ontario, CA",3434,190,23174325,14.8181230737033,5886453,3.2277502258151
"11","38060","Phoenix-Mesa-Chandler, AZ",3039,179,24505258,12.4014201360377,5709314,3.1352278049517
"12","14460","Boston-Cambridge-Newton, MA-NH",1098,34,24385422,4.50269017284179,4770723,0.712680237356057
"13","19820","Detroit-Warren-Dearborn, MI",1782,87,21670039,8.22333545408017,4746363,1.8329824330756
"14","41860","San Francisco-Oakland-Fremont, CA",1279,72,23391507,5.46779649554003,4561229,1.5785219290678
"15","33460","Minneapolis-St. Paul-Bloomington, MN-WI",999,52,18254092,5.47274550824002,4274645,1.21647528625184
"16","42660","Seattle-Tacoma-Bellevue, WA",1204,43,19832055,6.0709795328825,4205850,1.02238548688137
"17","41740","San Diego-Chula Vista-Carlsbad, CA",1360,35,16581656,8.20183460566303,3543729,0.987660173788684
"18","19740","Denver-Aurora-Centennial, CO",1300,76,14746319,8.81575937696723,3231784,2.35164231272882
"19","41700","San Antonio-New Braunfels, TX",1412,61,12800100,11.0311638190327,3183934,1.91586885909067
"20","45300","Tampa-St. Petersburg-Clearwater, FL",2399,92,15939137,15.0510030750096,3143544,2.92663312490616
"21","16740","Charlotte-Concord-Gastonia, NC-SC",1573,93,13188516,11.9270431942457,3087485,3.01216038296542
"22","41180","St. Louis, MO-IL",1791,116,14019806,12.7747844727666,3081488,3.76441511373726
"23","12580","Baltimore-Columbia-Towson, MD",1117,51,14085016,7.93041342658042,3073824,1.65917111714919
"24","36740","Orlando-Kissimmee-Sanford, FL",1814,89,13147047,13.7977752722722,2842584,3.13095408965927
"25","40900","Sacramento-Roseville-Folsom, CA",1365,54,11861954,11.5073789697718,2677606,2.01672688214771
"26","38900","Portland-Vancouver-Hillsboro, OR-WA",924,44,12443613,7.42549611595925,2608525,1.68677700999607
"27","28140","Kansas City, MO-KS",1230,70,10833128,11.3540613569783,2596576,2.69585792982759
"28","29820","Las Vegas-Henderson-North Las Vegas, NV",1108,52,11317902,9.78980026510214,2588160,2.00914935707221
"29","17140","Cincinnati, OH-KY-IN",929,65,11119996,8.35431955191351,2583348,2.5161147472195
"30","26900","Indianapolis-Carmel-Greenwood, IN",1119,50,10423690,10.7351619244241,2546740,1.96329425068912
