"GEOID","County","rate_youth","rate_total","Main","CBSA","cbsa_code"
"04013","Maricopa , Arizona",1.3105430912937,13.1310747925893,"Main","Phoenix-Mesa-Chandler, AZ","38060"
"04021","Pinal , Arizona",2.39551704462983,16.5884885060384,"Adjacent","Phoenix-Mesa-Chandler, AZ","38060"
"06001","Alameda , California",0.399786668569162,6.02372644015434,"Adjacent","San Francisco-Oakland-Fremont, CA","41860"
"06013","Contra Costa , California",0.724027061633271,6.95180690924419,"Adjacent","San Francisco-Oakland-Fremont, CA","41860"
"06017","El Dorado , California",1.55630957972804,12.2419109030398,"Adjacent","Sacramento-Roseville-Folsom, CA","40900"
"06037","Los Angeles , California",0.575442420163693,8.2564134868834,"Main","Los Angeles-Long Beach-Anaheim, CA","31080"
"06041","Marin , California",0.77826816739847,5.13654375899846,"Adjacent","San Francisco-Oakland-Fremont, CA","41860"
"06059","Orange , California",0.468340696106376,6.78676102720534,"Adjacent","Los Angeles-Long Beach-Anaheim, CA","31080"
"06061","Placer , California",0.960301019469489,8.54797104519795,"Adjacent","Sacramento-Roseville-Folsom, CA","40900"
"06065","Riverside , California",1.29046107028537,12.7455156225416,"Main","Riverside-San Bernardino-Ontario, CA","40140"
"06067","Sacramento , California",0.920472897409708,12.3125597239099,"Main","Sacramento-Roseville-Folsom, CA","40900"
"06071","San Bernardino , California",1.40100326395315,17.5432407827975,"Adjacent","Riverside-San Bernardino-Ontario, CA","40140"
"06073","San Diego , California",0.601865501295958,8.77122485100466,"Main","San Diego-Chula Vista-Carlsbad, CA","41740"
"06075","San Francisco , California",0.219014522723272,4.78336127611045,"Main","San Francisco-Oakland-Fremont, CA","41860"
"06081","San Mateo , California",0.477563205757388,4.92898423871006,"Adjacent","San Francisco-Oakland-Fremont, CA","41860"
"06113","Yolo , California",1.08493814839939,12.5916818131983,"Adjacent","Sacramento-Roseville-Folsom, CA","40900"
"08001","Adams , Colorado",1.55194371375026,13.7214149911645,"Adjacent","Denver-Aurora-Centennial, CO","19740"
"08005","Arapahoe , Colorado",1.18468201021177,8.32818782136622,"Adjacent","Denver-Aurora-Centennial, CO","19740"
"08014","Broomfield , Colorado",1.30106687483737,5.86019821876288,"Adjacent","Denver-Aurora-Centennial, CO","19740"
"08031","Denver , Colorado",0.6101065787245,9.51374505780104,"Main","Denver-Aurora-Centennial, CO","19740"
"08035","Douglas , Colorado",1.11052974375337,6.01765412559506,"Adjacent","Denver-Aurora-Centennial, CO","19740"
"08059","Jefferson , Colorado",0.656583225133597,8.74299351741226,"Adjacent","Denver-Aurora-Centennial, CO","19740"
"10003","New Castle , Delaware",1.01113336633873,11.5580206405541,"Adjacent","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980"
"11001","District of Columbia, District of Columbia",0.432755524601196,5.46287095566519,"Main","Washington-Arlington-Alexandria, DC-VA-MD-WV","47900"
"12011","Broward , Florida",0.977059475180228,12.6570333987081,"Adjacent","Miami-Fort Lauderdale-West Palm Beach, FL","33100"
"12053","Hernando , Florida",1.7893580511487,18.4810067165999,"Adjacent","Tampa-St. Petersburg-Clearwater, FL","45300"
"12057","Hillsborough , Florida",1.15957542604809,14.8741594192462,"Main","Tampa-St. Petersburg-Clearwater, FL","45300"
"12069","Lake , Florida",1.23385119614028,16.3144960508122,"Adjacent","Orlando-Kissimmee-Sanford, FL","36740"
"12086","Miami-Dade , Florida",0.837074802477234,11.4889351158694,"Main","Miami-Fort Lauderdale-West Palm Beach, FL","33100"
"12095","Orange , Florida",1.16370756608022,12.7400376560742,"Main","Orlando-Kissimmee-Sanford, FL","36740"
"12097","Osceola , Florida",1.72184955238617,16.3636557832204,"Adjacent","Orlando-Kissimmee-Sanford, FL","36740"
"12099","Palm Beach , Florida",1.19008079500842,13.3940264153564,"Adjacent","Miami-Fort Lauderdale-West Palm Beach, FL","33100"
"12101","Pasco , Florida",0.995749047051642,16.8220299589667,"Adjacent","Tampa-St. Petersburg-Clearwater, FL","45300"
"12103","Pinellas , Florida",0.498244588151082,12.6423609306442,"Adjacent","Tampa-St. Petersburg-Clearwater, FL","45300"
"12117","Seminole , Florida",0.79333850597957,8.92384531184864,"Adjacent","Orlando-Kissimmee-Sanford, FL","36740"
"13013","Barrow , Georgia",1.45194405007441,15.0519625207806,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13015","Bartow , Georgia",2.47496806885986,22.8967959104119,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13045","Carroll , Georgia",1.39656691456891,18.3416643459215,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13057","Cherokee , Georgia",0.704451811058233,6.4882986473748,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13063","Clayton , Georgia",1.55477599233935,17.4828604721676,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13067","Cobb , Georgia",0.594931470354662,8.05843455061087,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13077","Coweta , Georgia",1.99015606015324,13.6388734337245,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13089","DeKalb , Georgia",1.20577632200274,15.9219364538829,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13097","Douglas , Georgia",1.18969649213313,14.0735148964998,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13113","Fayette , Georgia",1.65913517601203,10.2300848980337,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13117","Forsyth , Georgia",0.490623952971866,6.19132743989997,"Adjacent","Atlanta-Sandy Springs-Roswell, GA","12060"
"13121","Fulton , Georgia",0.72623499208857,12.3753714611053,"Main","Atlanta-Sandy Springs-Roswell, GA","12060"
