"","cbsa","cbsa_name","PER_TYP","count","tot_pop","rate"
"1","12060","Atlanta-Sandy Springs-Roswell, GA",1,2237,31101508,7.19257728596311
"2","12060","Atlanta-Sandy Springs-Roswell, GA",2,510,31101508,1.63979187118515
"3","12060","Atlanta-Sandy Springs-Roswell, GA",3,5,31101508,0.0160763908939721
"4","12060","Atlanta-Sandy Springs-Roswell, GA",5,854,31101508,2.74584756469043
"5","12060","Atlanta-Sandy Springs-Roswell, GA",6,37,31101508,0.118965292615393
"6","12420","Austin-Round Rock-San Marcos, TX",1,833,12024536,6.92750223376603
"7","12420","Austin-Round Rock-San Marcos, TX",2,203,12024536,1.68821483007743
"8","12420","Austin-Round Rock-San Marcos, TX",3,1,12024536,0.00831632921220411
"9","12420","Austin-Round Rock-San Marcos, TX",5,298,12024536,2.47826610523683
"10","12420","Austin-Round Rock-San Marcos, TX",6,31,12024536,0.257806205578328
"11","12580","Baltimore-Columbia-Towson, MD",1,643,14167392,4.5385911535447
"12","12580","Baltimore-Columbia-Towson, MD",2,128,14167392,0.90348315342725
"13","12580","Baltimore-Columbia-Towson, MD",3,2,14167392,0.0141169242723008
"14","12580","Baltimore-Columbia-Towson, MD",5,338,14167392,2.38576020201883
"15","12580","Baltimore-Columbia-Towson, MD",6,24,14167392,0.169403091267609
"16","14460","Boston-Cambridge-Newton, MA-NH",1,737,24618197,2.99372045808229
"17","14460","Boston-Cambridge-Newton, MA-NH",2,136,24618197,0.552436882359825
"18","14460","Boston-Cambridge-Newton, MA-NH",3,1,24618197,0.0040620358997046
"19","14460","Boston-Cambridge-Newton, MA-NH",5,228,24618197,0.926144185132648
"20","14460","Boston-Cambridge-Newton, MA-NH",6,23,24618197,0.0934268256932057
"21","16740","Charlotte-Concord-Gastonia, NC-SC",1,1023,13782483,7.42246516828644
"22","16740","Charlotte-Concord-Gastonia, NC-SC",2,248,13782483,1.79938549534217
"23","16740","Charlotte-Concord-Gastonia, NC-SC",3,3,13782483,0.0217667600243004
"24","16740","Charlotte-Concord-Gastonia, NC-SC",5,277,13782483,2.0097975089104
"25","16740","Charlotte-Concord-Gastonia, NC-SC",6,29,13782483,0.210412013568237
"26","16980","Chicago-Naperville-Elgin, IL-IN",1,2018,47079899,4.28633035087862
"27","16980","Chicago-Naperville-Elgin, IL-IN",2,584,47079899,1.24044446229589
"28","16980","Chicago-Naperville-Elgin, IL-IN",3,14,47079899,0.0297366823153125
"29","16980","Chicago-Naperville-Elgin, IL-IN",5,739,47079899,1.56967201650114
"30","16980","Chicago-Naperville-Elgin, IL-IN",6,112,47079899,0.2378934585225
"31","17140","Cincinnati, OH-KY-IN",1,616,11327522,5.43808257445891
"32","17140","Cincinnati, OH-KY-IN",2,158,11327522,1.3948328681242
"33","17140","Cincinnati, OH-KY-IN",3,2,11327522,0.0176561122547367
"34","17140","Cincinnati, OH-KY-IN",5,137,11327522,1.20944368944947
"35","17140","Cincinnati, OH-KY-IN",6,17,11327522,0.150076954165262
"36","19100","Dallas-Fort Worth-Arlington, TX",1,2563,39720505,6.45258664259178
"37","19100","Dallas-Fort Worth-Arlington, TX",2,602,39720505,1.51558999564583
"38","19100","Dallas-Fort Worth-Arlington, TX",3,9,39720505,0.0226583221940406
"39","19100","Dallas-Fort Worth-Arlington, TX",4,1,39720505,0.0025175913548934
"40","19100","Dallas-Fort Worth-Arlington, TX",5,864,39720505,2.1751989306279
"41","19100","Dallas-Fort Worth-Arlington, TX",6,63,39720505,0.158608255358284
