"","cbsa_code","name","fatality_overall","fatality_children","tot_pop","rate_overall","child_pop","rate_children"
"1","10180","Abilene, TX",248,15,1237331,20.0431412451478,290851,5.15727984431891
"2","10420","Akron, OH",386,16,4910078,7.86138224280755,986642,1.6216621631757
"3","10500","Albany, GA",212,14,1036757,20.448378935469,246022,5.69054799977238
"4","10540","Albany, OR",169,7,906407,18.6450457686227,200025,3.49956255468067
"5","10580","Albany-Schenectady-Troy, NY",423,22,6271808,6.74446666734696,1200838,1.83205394899229
"6","10740","Albuquerque, NM",1047,46,6443057,16.250050247887,1364600,3.37095119448923
"7","10780","Alexandria, LA",229,12,1055323,21.699517588454,254213,4.72045096041508
"8","10900","Allentown-Bethlehem-Easton, PA-NJ",493,18,6024027,8.18389426209411,1243346,1.44770643087282
"9","11020","Altoona, PA",68,1,851119,7.98948208182405,170285,0.587250785447926
"10","11100","Amarillo, TX",363,35,1897407,19.1313724467128,478580,7.31330185131013
"11","11180","Ames, IA",56,3,825818,6.78115516978317,139924,2.14402103999314
"12","11200","Amherst Town-Northampton, MA",61,2,327901,18.6031759585973,43609,4.58620926872893
"13","11260","Anchorage, AK",282,11,2804157,10.0564982631144,685808,1.60394746051373
"14","11460","Ann Arbor, MI",203,7,2581368,7.86404728035677,471280,1.48531658462061
"15","11500","Anniston-Oxford, AL",146,6,807226,18.0866324920159,172718,3.47387070253245
"16","11540","Appleton, WI",122,10,1695978,7.19348953818976,389227,2.56919484002908
"17","11700","Asheville, NC",375,12,3166358,11.8432596693109,569992,2.10529270586254
"18","12020","Athens-Clarke County, GA",192,3,1510689,12.7094325834106,297571,1.00816275779562
"19","12060","Atlanta-Sandy Springs-Roswell, GA",5092,258,42934786,11.859847164488,10195789,2.53045644628385
"20","12100","Atlantic City-Hammonton, NJ",358,14,2092433,17.1092694485319,428481,3.26735607879929
"21","12220","Auburn-Opelika, AL",200,7,1256109,15.922185096994,260862,2.68341115225675
"22","12260","Augusta-Richmond County, GA-SC",705,36,4321219,16.3148407891384,983824,3.65919107482639
"23","12420","Austin-Round Rock-San Marcos, TX",1841,100,16308679,11.2884679378385,3616304,2.76525424853663
"24","12540","Bakersfield-Delano, CA",1301,75,6360215,20.4552833512704,1817036,4.12760121428524
"25","12580","Baltimore-Columbia-Towson, MD",1613,65,19778356,8.15537954721818,4318639,1.50510380700957
"26","12620","Bangor, ME",130,5,1073822,12.1062894967695,189037,2.64498484423684
"27","12700","Barnstable Town, MA",96,4,1569020,6.11846885316949,226399,1.76679225614954
"28","12940","Baton Rouge, LA",1232,79,6021631,20.4595731621549,1400452,5.64103589412561
"29","12980","Battle Creek, MI",149,4,937033,15.9012542781311,212593,1.88152949532675
"30","13020","Bay City, MI",83,4,722245,11.4919452540343,141508,2.82669531051248
"31","13140","Beaumont-Port Arthur, TX",515,35,2797341,18.4103403911071,682614,5.1273486919401
"32","13220","Beckley, WV",142,6,800056,17.7487575869689,165403,3.62750373330593
"33","13380","Bellingham, WA",119,4,1602717,7.42489160594166,300480,1.33120340788072
"34","13460","Bend, OR",219,16,1513239,14.4722677647087,296238,5.40106265907817
"35","13740","Billings, MT",194,17,1286853,15.0755369882963,291710,5.82770559802544
"36","13780","Binghamton, NY",124,10,1698999,7.2984151256122,327864,3.05004514066808
"37","13820","Birmingham, AL",1332,73,8000035,16.6499271565687,1816020,4.01977951784672
"38","13900","Bismarck, ND",74,6,937017,7.89740207488231,214083,2.8026513081375
"39","13980","Blacksburg-Christiansburg-Radford, VA",142,5,1230167,11.5431482067069,196408,2.54572115188791
"40","14010","Bloomington, IL",104,8,1233297,8.4326808546522,261656,3.05744947564741
"41","14020","Bloomington, IN",91,4,1150792,7.9075975502089,188719,2.11955341009649
"42","14260","Boise City, ID",445,35,5478408,8.12279771787716,1309176,2.67343733768416
"43","14460","Boston-Cambridge-Newton, MA-NH",1541,59,34330118,4.48876989004232,6665222,0.885191821067625
"44","14500","Boulder, CO",196,6,2288892,8.56309515695804,413494,1.45104886648899
"45","14540","Bowling Green, KY",212,15,1293141,16.3941905793722,298575,5.02386335091686
"46","14580","Bozeman, MT",80,5,835083,9.5798860712049,159412,3.1365267357539
"47","14740","Bremerton-Silverdale-Port Orchard, WA",126,5,1918757,6.56675128742201,380765,1.31314590364135
"48","15180","Brownsville-Harlingen, TX",245,16,2977617,8.22805619392958,869459,1.8402247834573
"49","15260","Brunswick-St. Simons, GA",167,11,807736,20.6750720532451,167162,6.58044292363097
"50","15380","Buffalo-Cheektowaga, NY",482,28,8034295,5.99928182871055,1610661,1.73841671214489
"51","15500","Burlington, NC",145,5,1210771,11.9758401877812,265948,1.88006677997202
"52","15540","Burlington-South Burlington, VT",113,7,1570640,7.1945194315693,287114,2.43805596383318
"53","15940","Canton-Massillon, OH",247,16,2795968,8.83414974706434,597522,2.67772567369904
"54","15980","Cape Coral-Fort Myers, FL",798,33,5570372,14.3257936812838,963103,3.42642479568644
"55","16020","Cape Girardeau, MO-IL",122,8,675977,18.0479513356224,141579,5.65055552023958
"56","16180","Carson City, NV",35,3,399382,8.76353966878828,78509,3.82121794953445
"57","16220","Casper, WY",67,10,558027,12.0065874948703,132685,7.53664694577382
"58","16300","Cedar Rapids, IA",174,7,1920992,9.05782012626809,435459,1.6074992134736
"59","16540","Chambersburg, PA",147,4,1094426,13.4316984428367,239682,1.66887792992382
"60","16580","Champaign-Urbana, IL",153,5,1630654,9.38273845953832,313490,1.59494720724744
"61","16620","Charleston, WV",243,10,1591065,15.2727889809656,328537,3.0437971978803
"62","16700","Charleston-North Charleston, SC",928,38,5728534,16.1996070897022,1235483,3.07572018392807
"63","16740","Charlotte-Concord-Gastonia, NC-SC",2214,134,18877001,11.7285579420163,4378892,3.06013484689734
"64","16820","Charlottesville, VA",183,5,1577280,11.6022519780889,294690,1.69669822525366
"65","16860","Chattanooga, TN-GA",580,26,3990010,14.5363044202897,833864,3.11801444839926
"66","16940","Cheyenne, WY",98,8,701156,13.9769181180793,158412,5.05012246546979
"67","16980","Chicago-Naperville-Elgin, IL-IN",4718,258,66111584,7.1364195418461,14668931,1.75881937136387
"68","17020","Chico, CA",266,8,1510854,17.6059367748307,304727,2.62530067896839
"69","17140","Cincinnati, OH-KY-IN",1314,80,15697710,8.37064769319856,3623978,2.20751891981684
"70","17300","Clarksville, TN-KY",353,12,2234595,15.7970459971494,589871,2.03434310213589
"71","17410","Cleveland, OH",1227,69,4330809,28.3318890304329,883294,7.81166859505442
"72","17420","Cleveland, TN",130,7,896374,14.5028749160507,190180,3.6807235250815
"73","17660","Coeur d'Alene, ID",115,2,1221539,9.4143535327157,274182,0.729442487107104
"74","17780","College Station-Bryan, TX",217,8,1911766,11.3507615471768,399588,2.00206212398771
"75","17820","Colorado Springs, CO",554,34,5283291,10.4858884358253,1222217,2.78183006781938
"76","17860","Columbia, MO",180,13,1428168,12.6035592451308,289198,4.4951901465432
"77","17900","Columbia, SC",1056,47,5909401,17.8698314769974,1296768,3.62439541999803
"78","17980","Columbus, GA-AL",388,20,2243323,17.2957706045897,541535,3.69320542531877
"79","18020","Columbus, IN",92,8,583331,15.7714916573952,137070,5.83643393886335
"80","18140","Columbus, OH",1434,88,15025713,9.54364029181178,3494503,2.51824079132283
"81","18580","Corpus Christi, TX",472,21,3071081,15.3691810798869,737451,2.84764682670442
"82","18700","Corvallis, OR",65,3,666364,9.75442851054379,104256,2.87753222836096
"83","18880","Crestview-Fort Walton Beach-Destin, FL",380,13,2042876,18.6012268977657,446883,2.90903883119295
"84","19100","Dallas-Fort Worth-Arlington, TX",5604,347,54661355,10.2522156649794,13824262,2.51007974241229
"85","19140","Dalton, GA",151,9,1010658,14.9407613653679,250867,3.58755834765035
"86","19300","Daphne-Fairhope-Foley, AL",217,11,1654728,13.1139377589549,349331,3.14887599440073
"87","19340","Davenport-Moline-Rock Island, IA-IL",223,10,2662327,8.37613110635921,603832,1.65608977331443
"88","19430","Dayton-Kettering-Beavercreek, OH",609,46,4069825,14.9637883692788,886315,5.19002837591601
"89","19460","Decatur, AL",215,20,1088985,19.7431553235352,246237,8.12225620032733
"90","19500","Decatur, IL",87,2,719765,12.0872784867283,160356,1.24722492454289
"91","19660","Deltona-Daytona Beach-Ormond Beach, FL",1002,45,4829725,20.7465228351511,832638,5.40450952274578
"92","19740","Denver-Aurora-Centennial, CO",1892,105,20801962,9.09529591487572,4473044,2.34739474952627
"93","19780","Des Moines-West Des Moines, IA",375,34,4939888,7.59126522706588,1216775,2.794271742927
"94","19820","Detroit-Warren-Dearborn, MI",2505,109,30412921,8.23663073994109,6617696,1.64709892989947
"95","20020","Dothan, AL",173,10,1057767,16.3552086612647,237028,4.218910845976
"96","20100","Dover, DE",199,10,1289734,15.4295381838426,294114,3.40004216052279
"97","20220","Dubuque, IA",55,3,686730,8.00897004645203,153759,1.9511053011531
"98","20260","Duluth, MN-WI",201,16,1994598,10.0772185673504,382968,4.17789475883102
"99","20500","Durham-Chapel Hill, NC",471,25,4334930,10.8652273508453,853073,2.93058155632636
"100","20580","Eagle Pass, TX",53,3,116591,45.4580542237394,35238,8.51353652307168
"101","20740","Eau Claire, WI",95,8,1203444,7.89401085551135,244948,3.26599931414014
"102","20940","El Centro, CA",232,7,1265217,18.3367754306178,356383,1.9641789872132
"103","21060","Elizabethtown, KY",169,12,1029304,16.4188616774053,250218,4.79581804666331
"104","21140","Elkhart-Goshen, IN",199,18,1444589,13.7755444628195,393183,4.57802092155561
"105","21300","Elmira, NY",52,2,580178,8.9627665992161,120020,1.66638893517747
"106","21340","El Paso, TX",661,40,6024078,10.9726334884774,1585369,2.52307191574958
"107","21420","Enid, OK",49,1,431426,11.3576835888426,111429,0.897432445772644
"108","21500","Erie, PA",189,7,1888351,10.008732486704,394861,1.77277573627175
"109","21660","Eugene-Springfield, OR",325,10,2665545,12.1926285243731,474776,2.10625642408209
"110","21780","Evansville, IN",193,11,2115921,9.12132352767424,465490,2.36310124814711
"111","21820","Fairbanks-College, AK",56,5,676263,8.28080199567328,159684,3.13118408857494
"112","22020","Fargo, ND-MN",100,3,1774184,5.63639397041119,400552,0.748966426331662
"113","22140","Farmington, NM",198,7,858830,23.05462082135,219719,3.18588742894333
"114","22180","Fayetteville, NC",448,27,3140529,14.2651126609562,793460,3.4028180374562
"115","22220","Fayetteville-Springdale-Rogers, AR",386,17,3956545,9.75598659941944,976859,1.74027162569009
"116","22380","Flagstaff, AZ",369,23,1005851,36.6853539937824,198087,11.6110597868613
"117","22420","Flint, MI",359,17,2830082,12.6851448120584,628621,2.70433218107572
"118","22500","Florence, SC",400,24,1414185,28.2848425064613,325754,7.36752273187743
"119","22520","Florence-Muscle Shoals, AL",187,14,1059047,17.6573844220323,212716,6.58154534684744
"120","22540","Fond du Lac, WI",88,5,725432,12.1307028088091,150975,3.31180659049512
"121","22660","Fort Collins-Loveland, CO",243,13,2526049,9.61976588736006,473106,2.74779859059069
"122","22900","Fort Smith, AR-OK",240,16,1772096,13.5432843367402,421119,3.79940111939855
"123","23060","Fort Wayne, IN",352,20,3055445,11.5204168296271,769896,2.59775346280537
