"","cbsa_code","name","fatality_overall","fatality_children","tot_pop","rate_overall","child_pop","rate_children"
"1","35620","New York-Newark-Jersey City, NY-NJ",4437,224,98041032,4.52565615588379,20628740,1.08586370277584
"2","31080","Los Angeles-Long Beach-Anaheim, CA",5115,187,64811188,7.89215590369984,13409561,1.39452738236546
"3","16980","Chicago-Naperville-Elgin, IL-IN",3532,196,47079899,7.50214013840599,10316254,1.8999144456893
"4","19100","Dallas-Fort Worth-Arlington, TX",4160,246,39720505,10.4731800363565,9929700,2.47741623614006
"5","26420","Houston-Pasadena-The Woodlands, TX",3954,213,36919533,10.7097779378737,9541455,2.23236393191604
"6","12060","Atlanta-Sandy Springs-Roswell, GA",3703,174,31101508,11.9061750960757,7288873,2.38720032575681
"7","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",2164,107,31755534,6.81456025900871,7165658,1.49323341973619
"8","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2572,123,31148781,8.25714495857799,6617426,1.85872875646815
"9","33100","Miami-Fort Lauderdale-West Palm Beach, FL",3822,158,31038762,12.313635447187,6174190,2.55904013319966
"10","40140","Riverside-San Bernardino-Ontario, CA",3509,195,23403561,14.9934448009856,5797913,3.36327916614133
"11","38060","Phoenix-Mesa-Chandler, AZ",3390,197,25167094,13.4699699536228,5651720,3.48566454106007
"12","14460","Boston-Cambridge-Newton, MA-NH",1134,40,24618197,4.60634871026501,4737931,0.84425037004549
"13","19820","Detroit-Warren-Dearborn, MI",1870,84,21773477,8.58843077750053,4702908,1.78612892278565
"14","41860","San Francisco-Oakland-Fremont, CA",1344,63,23150113,5.80558721246847,4422209,1.42462737514215
"15","33460","Minneapolis-St. Paul-Bloomington, MN-WI",1053,67,18494256,5.69365969628624,4268278,1.56971968555
"16","42660","Seattle-Tacoma-Bellevue, WA",1426,57,20215977,7.0538267826482,4193776,1.35915699837092
"17","41740","San Diego-Chula Vista-Carlsbad, CA",1444,48,16469379,8.76778656924466,3439509,1.39554802734925
"18","41700","San Antonio-New Braunfels, TX",1527,67,13275095,11.5027425415788,3229463,2.07464832388543
"19","45300","Tampa-St. Petersburg-Clearwater, FL",2435,88,16472598,14.7821248354388,3186619,2.76154758381846
"20","16740","Charlotte-Concord-Gastonia, NC-SC",1597,99,13782483,11.5871719196026,3161654,3.13127242892486
"21","19740","Denver-Aurora-Centennial, CO",1440,75,14981320,9.61197010677297,3155500,2.37680240849311
"22","12580","Baltimore-Columbia-Towson, MD",1153,43,14167392,8.1384068429814,3091102,1.3910896502283
"23","41180","St. Louis, MO-IL",1816,116,14012897,12.9594901040092,3030735,3.8274543963758
"24","36740","Orlando-Kissimmee-Sanford, FL",1811,96,13822700,13.1016371620595,2935082,3.27077744335593
"25","40900","Sacramento-Roseville-Folsom, CA",1411,59,12075595,11.6847244380091,2668912,2.21063864226321
"26","12420","Austin-Round Rock-San Marcos, TX",1387,72,12024536,11.5347486173271,2621670,2.74634107267505
"27","17140","Cincinnati, OH-KY-IN",937,46,11327522,8.27188859134416,2599217,1.76976374038797
"28","28140","Kansas City, MO-KS",1243,64,11037917,11.261182703222,2597203,2.46418936063142
"29","29820","Las Vegas-Henderson-North Las Vegas, NV",1236,63,11617620,10.6390121212434,2583481,2.43857028559529
"30","26900","Indianapolis-Carmel-Greenwood, IN",1179,49,10661180,11.0588133771309,2577260,1.90124395676028
