"Metro Area","County","FIPS Code"
"New York-Newark-Jersey City, NY-NJ","New York County","36061"
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles County","06037"
"Chicago-Naperville-Elgin, IL-IN","Cook County","17031"
"Dallas-Fort Worth-Arlington, TX","Dallas County","48113"
"Houston-Pasadena-The Woodlands, TX","Harris County","48201"
"Atlanta-Sandy Springs-Roswell, GA","Fulton County","13121"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","District of Columbia","11001"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia County","42101"
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Dade County","12086"
"Riverside-San Bernardino-Ontario, CA","Riverside County","06065"
"Phoenix-Mesa-Chandler, AZ","Maricopa County","04013"
"Boston-Cambridge-Newton, MA-NH","Suffolk County","25025"
"Detroit-Warren-Dearborn, MI","Wayne County","26163"
"San Francisco-Oakland-Fremont, CA","San Francisco County","06075"
"Minneapolis-St. Paul-Bloomington, MN-WI","Hennepin County","27053"
"Seattle-Tacoma-Bellevue, WA","King County","53033"
"San Diego-Chula Vista-Carlsbad, CA","San Diego County","06073"
"San Antonio-New Braunfels, TX","Bexar County","48029"
"Denver-Aurora-Centennial, CO","Denver County","08031"
"Tampa-St. Petersburg-Clearwater, FL","Hillsborough County","12057"
"Charlotte-Concord-Gastonia, NC-SC","Mecklenburg County","37119"
"Baltimore-Columbia-Towson, MD","Baltimore city","24510"
"St. Louis, MO-IL","St. Louis County","29189"
"Orlando-Kissimmee-Sanford, FL","Orange County","12095"
"Sacramento-Roseville-Folsom, CA","Sacramento County","06067"
"Kansas City, MO-KS","Jackson County","29095"
"Cincinnati, OH-KY-IN","Hamilton County","39061"
"Austin-Round Rock-San Marcos, TX","Travis County","48453"
"Las Vegas-Henderson-North Las Vegas, NV","Clark County","32003"
"Portland-Vancouver-Hillsboro, OR-WA","Multnomah County","41051"
"Indianapolis-Carmel-Greenwood, IN","Marion County","18097"
"Columbus, OH","Franklin County","39049"
"Nashville-Davidson--Murfreesboro--Franklin, TN","Davidson County","47037"
"Pittsburgh, PA","Allegheny County","42003"
"San Jose-Sunnyvale-Santa Clara, CA","Santa Clara County","06085"
"Virginia Beach-Chesapeake-Norfolk, VA-NC","Virginia Beach city","51810"
"Jacksonville, FL","Duval County","12031"
"Milwaukee-Waukesha, WI","Milwaukee County","55079"
"Oklahoma City, OK","Oklahoma County","40109"
"Raleigh-Cary, NC","Wake County","37183"
"Memphis, TN-MS-AR","Shelby County","47157"
"Salt Lake City-Murray, UT","Salt Lake County","49035"
"Providence-Warwick, RI-MA","Providence County","44007"
"Fresno, CA","Fresno County","06019"
"Louisville/Jefferson County, KY-IN","Jefferson County","21111"
"Richmond, VA","Richmond city","51760"
"McAllen-Edinburg-Mission, TX","Hidalgo County","48215"
"Bakersfield-Delano, CA","Kern County","06029"
"Grand Rapids-Wyoming-Kentwood, MI","Kent County","26081"
"Birmingham, AL","Jefferson County","01073"
"Buffalo-Cheektowaga, NY","Erie County","36029"
"New Orleans-Metairie, LA","Orleans Parish","22071"
