cbsa_code,name,year,fatality_count,population,rate
12580,"Baltimore-Columbia-Towson, MD",2015,215,2797407,7.685688925494217
12580,"Baltimore-Columbia-Towson, MD",2016,228,2798886,8.14609812618306
12580,"Baltimore-Columbia-Towson, MD",2017,238,2808175,8.475255281455038
12580,"Baltimore-Columbia-Towson, MD",2018,222,2802789,7.920681863672221
12580,"Baltimore-Columbia-Towson, MD",2019,207,2800053,7.392717209281396
12580,"Baltimore-Columbia-Towson, MD",2020,249,2844510,8.7537045044665
12580,"Baltimore-Columbia-Towson, MD",2021,227,2838327,7.997669049408331
12580,"Baltimore-Columbia-Towson, MD",2022,223,2835672,7.864097117014944
12580,"Baltimore-Columbia-Towson, MD",2023,252,2834316,8.89103402725737
12580,"Baltimore-Columbia-Towson, MD",2024,244,2859024,8.534380963573582
14460,"Boston-Cambridge-Newton, MA-NH",2015,218,4774321,4.566094320009065
14460,"Boston-Cambridge-Newton, MA-NH",2016,244,4794447,5.089220925791859
14460,"Boston-Cambridge-Newton, MA-NH",2017,200,4836531,4.135195246344953
14460,"Boston-Cambridge-Newton, MA-NH",2018,207,4875390,4.245814181019365
14460,"Boston-Cambridge-Newton, MA-NH",2019,186,4873019,3.8169356614451946
14460,"Boston-Cambridge-Newton, MA-NH",2020,208,4941632,4.2091357672930725
14460,"Boston-Cambridge-Newton, MA-NH",2021,246,4899932,5.020477835202611
14460,"Boston-Cambridge-Newton, MA-NH",2022,259,4900550,5.285121057840446
14460,"Boston-Cambridge-Newton, MA-NH",2023,212,4919179,4.3096622424189075
14460,"Boston-Cambridge-Newton, MA-NH",2024,231,5025517,4.596542007518829
16980,"Chicago-Naperville-Elgin, IL-IN",2015,529,9550108,5.5392043733955685
16980,"Chicago-Naperville-Elgin, IL-IN",2016,563,9512968,5.918237084367361
16980,"Chicago-Naperville-Elgin, IL-IN",2017,615,9533895,6.450668902898553
16980,"Chicago-Naperville-Elgin, IL-IN",2018,571,9497790,6.011924879366674
16980,"Chicago-Naperville-Elgin, IL-IN",2019,571,9457867,6.037302068214747
16980,"Chicago-Naperville-Elgin, IL-IN",2020,696,9618502,7.236054013400423
16980,"Chicago-Naperville-Elgin, IL-IN",2021,816,9510390,8.580089775498166
16980,"Chicago-Naperville-Elgin, IL-IN",2022,755,9442159,7.996052597716264
16980,"Chicago-Naperville-Elgin, IL-IN",2023,699,9262559,7.546510634912015
16980,"Chicago-Naperville-Elgin, IL-IN",2024,691,9406924,7.345653053006488
31080,"Los Angeles-Long Beach-Anaheim, CA",2015,834,13340068,6.251842194507555
31080,"Los Angeles-Long Beach-Anaheim, CA",2016,1041,13310447,7.820924421245958
31080,"Los Angeles-Long Beach-Anaheim, CA",2017,961,13353907,7.196395781399406
31080,"Los Angeles-Long Beach-Anaheim, CA",2018,939,13291486,7.064672828907167
31080,"Los Angeles-Long Beach-Anaheim, CA",2019,898,13214799,6.795411719845305
31080,"Los Angeles-Long Beach-Anaheim, CA",2020,953,13200998,7.2191511581169845
31080,"Los Angeles-Long Beach-Anaheim, CA",2021,1081,12997353,8.317078100440913
31080,"Los Angeles-Long Beach-Anaheim, CA",2022,1088,12872322,8.45224350354194
31080,"Los Angeles-Long Beach-Anaheim, CA",2023,1071,12799100,8.367775859240103
